event,x,y,z,station,track
6,-103.8729,130.196,286.9397,2,-1
6,-48.014,-159.4842,-49.642309999999995,2,-1
6,-48.014,-159.4842,207.5466,2,-1
6,105.822,-128.6167,-407.6026,2,-1
6,105.822,-128.6167,-314.4094,2,-1
6,105.822,-128.6167,-57.22042,2,-1
6,-50.172540000000005,64.29568,-19.099420000000002,0,9
6,-77.74941,99.22143,-36.66062,1,9
6,-103.8729,130.196,-53.15489,2,9
6,-21.840329999999998,-78.57619,-44.97552,0,10
6,-34.89079,-121.1301,-96.05893,1,10
6,-48.014,-159.4842,-142.8355,2,10
6,81.44823000000001,4.171777,128.2515,0,11
6,125.1489,15.0872,190.8392,1,11
6,164.1165,28.396109999999997,249.1735,2,11
6,55.2972,-59.94529,145.0127,0,12
6,82.74616999999999,-95.09435,217.8631,1,12
6,105.822,-128.6167,282.8742,2,12
7,-30.61585,75.59026,-40.06642,0,-1
7,-42.32604,69.71173,-40.0874,0,-1
7,8.876075,-81.07055,126.625,0,-1
7,73.33417,-35.68358,3.661632,0,-1
7,-67.14098,106.6862,38.001870000000004,1,-1
7,-67.14098,106.6862,158.5662,1,-1
7,9.69973,-125.6813,12.92511,1,-1
7,9.69973,-125.6813,55.66485,1,-1
7,9.69973,-125.6813,266.8119,1,-1
7,112.5084,-56.84823000000001,-216.1942,1,-1
7,112.5084,-56.84823000000001,-173.4544,1,-1
7,112.5084,-56.84823000000001,-82.87168,1,-1
7,-89.59463000000001,140.4043,14.033389999999999,2,-1
7,-89.59463000000001,140.4043,47.92181,2,-1
7,-89.59463000000001,140.4043,185.8961,2,-1
7,-134.2067,98.63638,-230.2029,2,-1
7,-134.2067,98.63638,-51.68345,2,-1
7,-134.2067,98.63638,86.29086,2,-1
7,8.049104,-166.3604,9.662896,2,-1
7,8.049104,-166.3604,154.2939,2,-1
7,8.049104,-166.3604,326.1566,2,-1
7,147.633,-77.10427,-271.3663,2,-1
7,147.633,-77.10427,-126.7353,2,-1
7,147.633,-77.10427,-92.84685999999999,2,-1
7,8.876075,-81.07055,100.2072,0,8
7,9.69973,-125.6813,146.2476,1,8
7,8.049104,-166.3604,188.1823,2,8
7,-42.32604,69.71173,-55.45774,0,11
7,-67.14098,106.6862,-95.3206,1,11
7,-89.59463000000001,140.4043,-130.5976,2,11
7,73.33417,-35.68358,30.079420000000002,0,14
7,112.5084,-56.84823000000001,37.69266,1,14
7,147.633,-77.10427,45.12746,2,14
8,81.03195,9.221774,190.9911,0,-1
8,81.03195,9.221774,217.8892,0,-1
8,-40.787040000000005,70.62319000000001,-139.3368,0,-1
8,-40.787040000000005,70.62319000000001,1.39794,0,-1
8,-40.787040000000005,70.62319000000001,108.0297,0,-1
8,-70.74708000000001,40.57177,-189.7084,0,-1
8,-70.74708000000001,40.57177,-22.07556,0,-1
8,-70.74708000000001,40.57177,57.65812,0,-1
8,-70.74708000000001,40.57177,172.4554,0,-1
8,-79.56515999999999,-17.905379999999997,-260.7184,0,-1
8,-79.56515999999999,-17.905379999999997,-119.9837,0,-1
8,-79.56515999999999,-17.905379999999997,-93.08554000000001,0,-1
8,-79.56515999999999,-17.905379999999997,101.4454,0,-1
8,-78.78109,-21.08929,-264.5662,0,-1
8,-78.78109,-21.08929,-123.8315,0,-1
8,-78.78109,-21.08929,-17.19969,0,-1
8,125.2212,14.474179999999999,10.129489999999999,1,-1
8,125.2212,14.474179999999999,192.5708,1,-1
8,-54.459669999999996,113.6838,56.02226999999999,1,-1
8,-108.033,64.95170999999999,-130.2576,1,-1
8,-122.2531,-30.72512,49.73418,1,-1
8,-122.2531,-30.72512,163.2816,1,-1
8,-114.9144,-51.8126,-58.770340000000004,1,-1
8,-114.9144,-51.8126,10.123569999999999,1,-1
8,165.4578,19.08618,18.12294,2,-1
8,165.4578,19.08618,251.711,2,-1
8,-69.22838,151.486,-404.0389,2,-1
8,-69.22838,151.486,61.92702,2,-1
8,-141.5788,87.72691,-415.5426,2,-1
8,-141.5788,87.72691,-184.9803,2,-1
8,-160.3871,-44.906,61.97149,2,-1
8,-160.3871,-44.906,209.0231,2,-1
8,-145.6475,-80.7922,-87.58061,2,-1
8,-145.6475,-80.7922,-1.044087,2,-1
8,-79.56515999999999,-17.905379999999997,-13.35186,0,12
8,-122.2531,-30.72512,-19.15973,1,12
8,-160.3871,-44.906,-24.56503,2,12
8,81.03195,9.221774,50.25634,0,13
8,125.2212,14.474179999999999,79.0234,1,13
8,165.4578,19.08618,104.6595,2,13
8,-70.74708000000001,40.57177,-48.97367,0,15
8,-108.033,64.95170999999999,-74.12184,1,15
8,-141.5788,87.72691,-96.62831,2,15
9,78.74671,21.21728,153.1133,0,-1
9,78.74671,21.21728,241.9732,0,-1
9,-33.357890000000005,74.42089,-175.1731,0,-1
9,-33.357890000000005,74.42089,76.5164,0,-1
9,-77.32986,25.90965,-254.2285,0,-1
9,-77.32986,25.90965,-91.39887,0,-1
9,-77.32986,25.90965,191.5116,0,-1
9,-36.29292,-73.03453,-228.5216,0,-1
9,-36.29292,-73.03453,-139.6618,0,-1
9,121.3449,34.13627,264.1955,1,-1
9,-56.6759,112.5953,-129.5178,1,-1
9,-56.6759,112.5953,162.0055,1,-1
9,-118.2918,43.55352,-297.3928,1,-1
9,-118.2918,43.55352,-186.397,1,-1
9,-59.165890000000005,-111.3071,-196.2974,1,-1
9,-59.165890000000005,-111.3071,194.7393,1,-1
9,160.0444,46.11257,320.7586,2,-1
9,-81.25211,145.3914,-165.0712,2,-1
9,-81.25211,145.3914,175.6286,2,-1
9,-154.6961,61.722559999999994,-349.036,2,-1
9,-154.6961,61.722559999999994,-208.6411,2,-1
9,-81.42797,-145.293,-231.5422,2,-1
9,-81.42797,-145.293,250.7628,2,-1
9,-33.357890000000005,74.42089,-12.34343,0,7
9,-56.6759,112.5953,-18.52204,1,7
9,-81.25211,145.3914,-24.67626,2,7
9,-36.29292,-73.03453,54.38888000000001,0,8
9,-59.165890000000005,-111.3071,83.74358000000001,1,8
9,-81.42797,-145.293,110.3679,2,8
9,78.74671,21.21728,-9.716301,0,9
9,121.3449,34.13627,-15.84547,1,9
9,160.0444,46.11257,-21.15144,2,9
9,-77.32986,25.90965,-2.539046,0,10
9,-118.2918,43.55352,-5.869456,1,10
9,-154.6961,61.722559999999994,-8.336281,2,10
10,79.46951,18.32526,53.82215,0,-1
10,79.46951,18.32526,206.0847,0,-1
10,79.46951,18.32526,249.3138,0,-1
10,14.154639999999999,80.31727,-263.6932,0,-1
10,14.154639999999999,80.31727,94.14775,0,-1
10,14.154639999999999,80.31727,137.3769,0,-1
10,-66.57768,47.102340000000005,-166.2038,0,-1
10,-66.57768,47.102340000000005,-13.94134,0,-1
10,-66.57768,47.102340000000005,190.1961,0,-1
10,-66.57768,47.102340000000005,196.9206,0,-1
10,-72.72983,36.89973,-180.196,0,-1
10,-72.72983,36.89973,15.29566,0,-1
10,-72.72983,36.89973,176.204,0,-1
10,-72.72983,36.89973,182.9285,0,-1
10,-13.10963,-80.49444,-207.7321,0,-1
10,-13.10963,-80.49444,-164.503,0,-1
10,-13.10963,-80.49444,-3.5946809999999996,0,-1
10,-13.10963,-80.49444,88.62741,0,-1
10,-13.10963,-80.49444,114.5649,0,-1
10,13.599689999999999,-80.4131,-239.2144,0,-1
10,13.599689999999999,-80.4131,-195.9853,0,-1
10,13.599689999999999,-80.4131,-35.07694,0,-1
10,13.599689999999999,-80.4131,-28.35241,0,-1
10,13.599689999999999,-80.4131,83.08261,0,-1
10,47.92338,-65.98915,-240.0604,0,-1
10,47.92338,-65.98915,-72.42756999999999,0,-1
10,47.92338,-65.98915,13.069989999999999,0,-1
10,47.92338,-65.98915,39.00745,0,-1
10,59.73141,-55.52816,-258.6,0,-1
10,59.73141,-55.52816,-97.69165,0,-1
10,59.73141,-55.52816,-90.96712,0,-1
10,59.73141,-55.52816,-5.469561,0,-1
10,123.8788,23.32165,194.5743,1,-1
10,123.8788,23.32165,273.6747,1,-1
10,123.8788,23.32165,318.966,1,-1
10,15.2532,125.1287,-8.486524000000001,1,-1
10,15.2532,125.1287,36.804840000000006,1,-1
10,15.2532,125.1287,162.4724,1,-1
10,15.2532,125.1287,227.5389,1,-1
10,15.2532,125.1287,262.6238,1,-1
10,15.2532,125.1287,292.6054,1,-1
10,-104.3793,70.67403,-332.5641,1,-1
10,-104.3793,70.67403,-253.4637,1,-1
10,-104.3793,70.67403,-208.1723,1,-1
10,-104.3793,70.67403,-82.50471999999999,1,-1
10,-104.3793,70.67403,-17.43825,1,-1
10,-104.3793,70.67403,17.64661,1,-1
10,-111.2285,59.31349,-276.9771,1,-1
10,-111.2285,59.31349,-231.6857,1,-1
10,-111.2285,59.31349,-106.0182,1,-1
10,-111.2285,59.31349,-5.8668260000000005,1,-1
10,-111.2285,59.31349,24.11478,1,-1
10,-23.18265,-123.9049,-73.36950999999999,1,-1
10,-23.18265,-123.9049,51.02227,1,-1
10,-23.18265,-123.9049,176.6899,1,-1
10,-23.18265,-123.9049,241.7563,1,-1
10,-23.18265,-123.9049,276.8412,1,-1
10,-23.18265,-123.9049,306.8228,1,-1
10,25.277520000000003,-123.4946,-159.7677,1,-1
10,25.277520000000003,-123.4946,-80.66729000000001,1,-1
10,25.277520000000003,-123.4946,-35.37593,1,-1
10,25.277520000000003,-123.4946,155.3581,1,-1
